id,name,close ,up,up%,vol,fi_buy,fi_sell,fi_net,fi_ho,hi_hora,tr_buy,tr_sell,tr_net,se_buy,se_sell,se_net,ma_buy,ma_sell,ma_net
105,18'09/07,77.7,-1.6,-2.02,"66,871","15,970","30,362","-14,392","7,615,975",43.9,19.1,0,19.1,253,"2,451","-2,198","16,242","32,813","-16,571"
106,18'09/10,75.1,-2.6,-3.35,"86,399","23,591","38,712","-15,121","7,601,084",43.9,0,147,-147,446,"2,173","-1,727","24,037","41,032","-16,995"
107,18'09/11,77.7,2.6,3.46,"50,324","24,334","27,838","-3,504","7,592,057",43.8,358,0,358,"1,409",641,768,"26,101","28,479","-2,378"
108,18'09/12,77,-0.7,-0.9,"43,943","21,850","28,683","-6,833","7,584,853",43.8,0,0,0,"1,238","1,012",226,"23,088","29,695","-6,607"
109,18'09/13,76,-1,-1.3,"36,881","10,396","23,512","-13,116","7,571,532",43.7,0,0,0,337,406,-69,"10,733","23,918","-13,185"
110,18'09/14,77.9,1.9,2.5,"33,520","20,593","15,127","5,466","7,576,974",43.7,105,0,105,"1,372",303,"1,069","22,070","15,430","6,640"
111,18'09/17,77.8,-0.1,-0.13,"15,469","7,983","8,975",-993,"7,575,833",43.7,0,0,0,22,366,-344,"8,005","9,341","-1,337"
112,18'09/18,75.8,-2,-2.57,"34,637","12,281","23,580","-11,299","7,564,534",43.6,0,0,0,428,"1,604","-1,176","12,709","25,184","-12,475"
113,18'09/19,76.4,0.6,0.79,"30,578","18,715","20,956","-2,241","7,562,633",43.6,0,0,0,"1,206","1,876",-670,"19,921","22,832","-2,911"
114,18'09/20,75.6,-0.8,-1.05,"26,603","12,555","14,277","-1,722","7,567,002",43.7,1,75,-74,51,"1,614","-1,563","12,607","15,966","-3,359"
115,18'09/21,75.8,0.2,0.26,"53,479","32,910","42,949","-10,040","7,552,758",43.6,376,95,281,452,197,255,"33,738","43,241","-9,504"
116,18'09/25,76.1,0.3,0.4,"20,827","13,565","11,428","2,137","7,552,210",43.6,0,0,0,441,112,329,"14,006","11,540","2,466"
